REPORTING_YEAR,CHEM_NAME~,CARCINOGEN,CLEAN_AIR,LIST_3350,PBT_IND,PFAS_IND,STATE_ABBR
2000,78,N,Y,Y,Y,N,AR
2000,25,N,Y,N,Y,N,AR
2000,7,N,Y,N,Y,N,AZ
2000,1,N,N,N,Y,N,AL
2001,287,N,Y,N,N,N,AZ
2001,98,N,N,N,N,N,AK
2001,331,N,Y,Y,Y,N,AL
2001,81,N,Y,N,N,N,AK
2001,9,Y,N,N,N,N,AZ
2002,273,Y,Y,N,N,N,AR
2002,60,Y,N,Y,Y,N,AZ
2002,81,Y,N,Y,Y,N,AR
2003,447,Y,Y,N,N,N,AL
2003,268,Y,Y,N,N,N,AR
2003,35,Y,N,N,N,N,AL
2003,179,N,Y,Y,Y,N,AR
2003,109,N,Y,Y,N,N,AZ
2003,5,N,Y,N,Y,N,AK
2004,971,N,Y,N,N,N,AL
2004,144,N,Y,Y,Y,N,AZ
2004,24,N,Y,N,Y,N,AZ
2004,20,N,Y,N,Y,N,AR
2004,36,Y,Y,Y,N,N,AK
2004,51,Y,Y,N,N,N,AK
2005,943,N,Y,N,N,N,AL
2005,1,Y,Y,N,Y,N,AS
2005,175,Y,Y,N,Y,N,AL
2005,136,N,Y,Y,N,N,AR
2005,86,Y,Y,Y,N,N,AZ
2006,467,Y,Y,N,N,N,AL
2006,140,N,Y,Y,N,N,AR
2006,157,Y,Y,Y,N,N,AR
2006,161,Y,Y,N,Y,N,AL
2006,2,N,N,N,Y,N,AL
2006,97,N,N,N,N,N,AK
2007,126,Y,Y,N,N,N,AZ
2007,581,N,Y,N,N,N,AR
2007,146,Y,Y,Y,N,N,AR
2007,280,Y,Y,N,N,N,AR
2007,134,N,Y,Y,N,N,AR
2007,66,N,Y,Y,Y,N,AK
2007,102,N,N,N,N,N,AK
2007,4,N,N,N,Y,N,AR
2008,173,N,Y,Y,Y,N,AZ
2008,134,N,Y,Y,N,N,AR
2008,19,Y,Y,N,Y,N,AK
2009,225,N,Y,N,N,N,AZ
2009,448,Y,Y,N,N,N,AL
2009,323,N,Y,Y,Y,N,AL
2009,169,N,Y,Y,Y,N,AR
2009,90,Y,N,Y,Y,N,AR
2010,361,N,N,N,N,N,AZ
2010,110,N,Y,Y,N,N,AZ
2010,177,N,Y,Y,Y,N,AR
2010,48,Y,Y,N,Y,N,AZ
2010,77,N,Y,Y,Y,N,AK
2010,2,N,N,N,Y,N,AL
2010,13,N,Y,N,Y,N,AZ
2010,55,Y,Y,N,N,N,AK
2011,108,N,Y,Y,N,N,AZ
2011,4,N,Y,N,Y,N,AZ
2011,7,N,Y,N,Y,N,AK
2012,141,Y,Y,Y,N,N,AR
2012,110,N,Y,Y,N,N,AR
2012,1,N,N,N,Y,N,AL
2012,75,N,Y,N,N,N,AK
2012,12,Y,N,Y,Y,N,AK
2012,1,Y,Y,N,N,N,AS
2012,1,N,Y,N,N,N,AS
2013,983,N,N,N,N,N,AL
2013,548,N,Y,N,N,N,AR
2013,239,N,Y,N,N,N,AZ
2013,362,N,N,N,N,N,AZ
2013,331,N,Y,Y,Y,N,AL
2013,166,Y,Y,N,Y,N,AL
2013,1,Y,Y,N,Y,N,AS
2014,35,Y,Y,N,Y,N,AZ
2014,6,Y,N,N,N,N,AZ
2014,2,N,N,N,N,N,AS
2015,864,N,Y,N,N,N,AL
2015,416,Y,Y,N,N,N,AL
2015,195,N,Y,Y,Y,N,AR
2015,159,Y,Y,N,Y,N,AL
2015,114,N,Y,Y,N,N,AR
2015,20,Y,Y,N,Y,N,AK
2015,147,N,N,N,N,N,AK
2016,31,Y,Y,N,Y,N,AZ
2016,97,N,Y,N,N,N,AK
2016,30,N,Y,N,Y,N,AL
2016,33,N,Y,N,Y,N,AR
2016,76,Y,Y,N,Y,N,AR
2016,53,N,Y,Y,N,N,AK
2016,2,N,N,N,Y,N,AR
2017,137,Y,Y,N,N,N,AZ
2017,120,N,Y,Y,N,N,AR
2017,147,N,Y,Y,Y,N,AZ
2017,108,N,Y,Y,N,N,AZ
2017,78,Y,Y,N,N,N,AK
2018,830,N,N,N,N,N,AR
2018,584,N,Y,N,N,N,AR
2018,200,N,Y,Y,Y,N,AR
2018,163,Y,N,Y,Y,N,AL
2018,99,Y,Y,Y,N,N,AZ
2018,13,N,Y,N,Y,N,AZ
2018,56,N,Y,Y,N,N,AK
2018,2,N,N,N,N,N,AS
2019,815,N,N,N,N,N,AR
2019,576,N,Y,N,N,N,AR
2019,204,N,Y,Y,Y,N,AR
2019,6,N,N,N,Y,N,AR
2020,169,Y,N,Y,Y,N,AL
2020,110,N,Y,Y,Y,N,AK
2020,6,N,N,N,Y,N,AR
2021,56,Y,N,Y,Y,N,AZ
2021,74,Y,Y,Y,N,N,AZ
2021,45,Y,Y,N,Y,N,AZ
2021,6,Y,N,N,N,N,AZ
2022,827,N,N,N,N,N,AR
2022,416,Y,Y,N,N,N,AL
2022,250,N,Y,Y,Y,N,AL
2022,81,Y,Y,N,Y,N,AR
2022,1,Y,N,N,N,Y,AR
2022,1,Y,N,N,N,Y,AL
2023,145,N,N,N,N,N,AK
2023,110,Y,Y,N,N,N,AZ
2023,156,N,Y,Y,Y,N,AZ
2023,188,Y,N,Y,Y,N,AL
2023,30,Y,Y,N,Y,N,AK
2023,45,Y,Y,Y,N,N,AK
2023,18,N,Y,N,Y,N,AK
2023,1,Y,N,N,N,Y,AR
1999,133,Y,Y,N,N,N,AZ
1999,719,N,N,N,N,N,AR
1999,5,N,Y,N,N,N,AS
1999,48,Y,Y,Y,N,N,AK
2000,442,N,N,N,N,N,AZ
2000,1011,N,Y,N,N,N,AL
2000,734,N,N,N,N,N,AR
2000,69,N,N,Y,N,N,AR
2000,77,N,Y,Y,Y,N,AZ
2000,13,Y,N,Y,Y,N,AZ
2000,7,Y,N,N,N,N,AZ
2000,8,Y,Y,N,Y,N,AK
2000,3,N,Y,N,Y,N,AK
2000,1,N,N,N,N,N,AS
2001,1029,N,Y,N,N,N,AL
2001,173,N,Y,Y,Y,N,AR
2001,101,Y,Y,Y,N,N,AZ
2001,97,N,N,Y,N,N,AL
2001,188,Y,Y,N,Y,N,AL
2001,24,N,Y,N,Y,N,AR
2001,77,Y,N,Y,Y,N,AR
2001,50,N,Y,Y,Y,N,AK
2001,4,N,Y,N,Y,N,AK
2002,41,Y,Y,N,Y,N,AZ
2002,18,N,Y,N,Y,N,AR
2002,31,N,N,Y,N,N,AZ
2002,6,N,Y,N,Y,N,AZ
2002,36,N,Y,Y,N,N,AK
2003,134,Y,N,Y,Y,N,AL
2003,146,Y,Y,Y,N,N,AR
2003,63,N,Y,N,N,N,AK
2003,2,N,N,N,Y,N,AL
2004,78,Y,N,Y,Y,N,AZ
2004,332,N,Y,Y,Y,N,AL
2004,7,Y,N,N,N,N,AZ
2004,32,N,Y,Y,N,N,AK
2004,7,N,Y,N,Y,N,AK
2005,38,Y,N,N,N,N,AR
2005,571,N,Y,N,N,N,AR
2005,58,N,Y,Y,Y,N,AK
2005,35,Y,Y,Y,N,N,AK
2005,2,N,N,N,Y,N,AL
2005,4,N,Y,N,Y,N,AK
2005,1,N,N,N,N,N,AS
2006,928,N,Y,N,N,N,AL
2006,256,N,Y,N,N,N,AZ
2006,345,N,Y,Y,Y,N,AL
2007,951,N,Y,N,N,N,AL
2007,351,N,Y,Y,Y,N,AL
2007,32,Y,N,N,N,N,AR
2007,109,N,Y,Y,N,N,AZ
2007,17,N,Y,N,Y,N,AZ
2007,27,Y,N,N,N,N,AL
2008,25,N,Y,N,Y,N,AR
2008,161,Y,Y,N,Y,N,AL
2008,67,N,Y,Y,Y,N,AK
2008,1,N,N,N,Y,N,AR
2008,55,Y,Y,N,N,N,AK
2009,982,N,N,N,N,N,AL
2009,128,Y,Y,N,N,N,AZ
2009,31,Y,N,N,N,N,AR
2009,48,Y,Y,N,Y,N,AZ
2009,61,Y,Y,N,N,N,AK
2009,69,N,Y,N,N,N,AK
2009,6,Y,N,N,N,N,AZ
2010,974,N,N,N,N,N,AL
2010,869,N,Y,N,N,N,AL
2010,430,Y,Y,N,N,N,AL
2010,238,N,Y,N,N,N,AZ
2010,121,Y,Y,N,N,N,AZ
2010,33,N,Y,N,Y,N,AL
2010,27,Y,Y,Y,N,N,AK
2010,6,Y,N,N,N,N,AZ
2010,1,Y,Y,N,Y,N,AS
2011,240,N,Y,N,N,N,AZ
2011,115,Y,Y,N,N,N,AZ
2011,183,N,Y,Y,Y,N,AR
2011,25,N,Y,N,Y,N,AR
2012,120,Y,Y,N,N,N,AZ
2012,969,N,N,N,N,N,AL
2012,359,N,N,N,N,N,AZ
2012,179,N,Y,Y,Y,N,AR
2012,154,Y,Y,N,Y,N,AL
2012,308,N,Y,Y,Y,N,AL
2012,76,Y,Y,N,Y,N,AR
2012,19,Y,Y,N,Y,N,AK
2013,397,Y,Y,N,N,N,AL
2013,36,N,Y,N,Y,N,AL
2013,112,N,Y,Y,N,N,AZ
2013,123,N,N,N,N,N,AK
2013,18,Y,Y,N,Y,N,AK
2013,52,N,Y,Y,N,N,AK
2013,34,Y,Y,Y,N,N,AK
2013,58,Y,Y,N,N,N,AK
2013,2,N,N,N,N,N,AS
2014,346,N,Y,Y,Y,N,AL
2014,270,N,Y,Y,N,N,AL
2014,245,Y,Y,Y,N,N,AL
2014,192,N,Y,Y,Y,N,AR
2014,30,N,Y,N,Y,N,AR
2014,44,Y,Y,Y,N,N,AK
2014,64,N,Y,Y,N,N,AK
2014,1,Y,Y,N,N,N,AS
2015,770,N,N,N,N,N,AR
2015,120,Y,Y,N,N,N,AZ
2015,355,N,Y,Y,Y,N,AL
2015,75,Y,Y,N,Y,N,AR
2015,110,N,Y,N,N,N,AK
2015,32,Y,Y,N,Y,N,AZ
2015,13,N,Y,N,Y,N,AZ
2016,199,N,Y,Y,Y,N,AR
2016,109,Y,Y,Y,N,N,AZ
2016,105,N,Y,Y,N,N,AZ
2016,1,Y,Y,N,N,N,AS
2017,966,N,N,N,N,N,AL
2017,100,Y,Y,Y,N,N,AZ
2017,47,N,Y,Y,N,N,AK
2018,421,Y,Y,N,N,N,AL
2018,369,N,N,N,N,N,AZ
2018,975,N,N,N,N,N,AL
2018,145,Y,Y,N,Y,N,AL
2018,81,Y,Y,N,Y,N,AR
2018,5,Y,N,N,N,N,AZ
2019,850,N,Y,N,N,N,AL
2019,28,Y,N,N,N,N,AL
2019,165,Y,N,Y,Y,N,AL
2019,55,Y,Y,Y,N,N,AK
2019,120,N,Y,N,N,N,AK
2019,166,N,Y,Y,Y,N,AZ
2019,2,N,N,N,N,N,AS
2020,424,Y,Y,N,N,N,AL
2020,287,N,Y,Y,N,N,AL
2020,139,N,Y,Y,Y,N,AZ
2020,63,N,Y,Y,N,N,AK
2020,34,N,Y,N,Y,N,AR
2020,5,Y,N,N,N,N,AZ
2020,8,Y,N,Y,Y,N,AK
2021,271,N,Y,Y,Y,N,AL
2021,296,N,Y,Y,N,N,AL
2021,148,N,N,N,N,N,AK
2021,3,N,N,N,N,N,AS
2021,7,N,N,N,N,Y,AL
2022,938,N,N,N,N,N,AL
2022,82,Y,N,Y,Y,N,AR
2022,19,N,Y,N,Y,N,AK
2022,57,N,Y,Y,N,N,AK
2022,41,Y,Y,N,Y,N,AZ
2022,30,N,Y,N,Y,N,AL
2023,280,Y,Y,N,N,N,AR
2023,103,Y,N,Y,Y,N,AZ
2023,86,Y,N,Y,Y,N,AR
2023,42,Y,Y,N,Y,N,AZ
1999,35,N,Y,Y,N,N,AK
1999,41,N,Y,Y,Y,N,AR
1999,27,Y,Y,N,N,N,AK
1999,1,Y,Y,N,Y,N,AK
2000,309,N,Y,N,N,N,AZ
2000,104,N,N,Y,N,N,AL
2000,197,Y,Y,N,Y,N,AL
2000,494,Y,Y,N,N,N,AL
2000,42,Y,Y,N,N,N,AK
2000,96,Y,Y,Y,N,N,AZ
2000,93,N,N,N,N,N,AK
2000,38,N,Y,Y,N,N,AK
2001,282,Y,Y,N,N,N,AR
2001,139,N,Y,Y,Y,N,AZ
2001,1,N,N,N,Y,N,AR
2002,165,N,Y,Y,N,N,AR
2002,116,Y,Y,N,N,N,AZ
2002,37,Y,N,N,N,N,AR
2002,1000,N,N,N,N,N,AL
2002,89,N,N,N,N,N,AK
2003,5,Y,N,N,N,N,AZ
2003,115,Y,Y,N,N,N,AZ
2003,555,N,Y,N,N,N,AR
2003,1,N,N,N,Y,N,AR
2003,1,N,N,N,N,N,AS
2004,386,N,N,N,N,N,AZ
2004,277,Y,Y,N,N,N,AR
2004,142,N,Y,Y,N,N,AR
2004,1,Y,Y,N,Y,N,AS
2004,47,N,Y,Y,Y,N,AK
2005,146,N,Y,Y,Y,N,AZ
2005,135,Y,Y,N,N,N,AZ
2005,64,N,Y,N,N,N,AK
2005,90,N,N,N,N,N,AK
2005,54,Y,Y,N,N,N,AK
2006,368,N,N,N,N,N,AZ
2006,54,Y,Y,N,Y,N,AZ
2006,254,Y,Y,Y,N,N,AL
2006,7,Y,N,N,N,N,AZ
2006,68,N,Y,Y,Y,N,AK
2006,26,Y,N,N,N,N,AL
2007,361,N,N,N,N,N,AZ
2007,2,N,N,N,Y,N,AL
2007,15,Y,Y,N,Y,N,AK
2008,301,Y,Y,N,N,N,AR
2008,1028,N,N,N,N,N,AL
2008,275,Y,Y,Y,N,N,AL
2008,78,Y,N,Y,Y,N,AR
2008,37,Y,Y,Y,N,N,AK
2009,75,Y,N,Y,Y,N,AZ
2009,21,Y,N,N,N,N,AL
2009,1,Y,Y,N,Y,N,AS
2010,49,N,Y,Y,N,N,AK
2011,114,N,Y,Y,N,N,AR
2011,108,Y,Y,Y,N,N,AZ
2011,152,Y,N,Y,Y,N,AL
2011,47,Y,Y,N,Y,N,AZ
2011,33,Y,Y,Y,N,N,AK
2011,72,N,Y,N,N,N,AK
2011,3,N,N,N,Y,N,AL
2011,7,Y,N,Y,Y,N,AK
2011,25,Y,N,N,N,N,AL
2012,261,Y,Y,N,N,N,AR
2012,173,N,Y,Y,Y,N,AZ
2012,47,Y,Y,N,Y,N,AZ
2012,60,Y,Y,N,N,N,AK
2013,259,Y,Y,Y,N,N,AL
2013,31,N,Y,N,Y,N,AR
2013,110,N,Y,Y,N,N,AR
2013,164,N,Y,Y,Y,N,AZ
2014,1020,N,N,N,N,N,AL
2014,415,Y,Y,N,N,N,AL
2014,550,N,Y,N,N,N,AR
2014,94,N,Y,N,N,N,AK
2014,26,Y,N,N,N,N,AR
2014,71,Y,Y,N,Y,N,AR
2014,19,Y,Y,N,Y,N,AK
2015,290,Y,Y,N,N,N,AR
2015,233,N,Y,N,N,N,AZ
2015,30,Y,N,N,N,N,AR
2015,2,N,N,N,Y,N,AR
2016,222,N,Y,N,N,N,AZ
2016,146,Y,Y,N,Y,N,AL
2016,3,Y,N,Y,Y,N,AK
2016,86,N,Y,Y,Y,N,AK
2016,27,Y,N,N,N,N,AL
2017,255,Y,Y,Y,N,N,AL
2017,205,N,Y,Y,Y,N,AR
2017,62,Y,N,Y,Y,N,AZ
2017,165,Y,Y,Y,N,N,AR
2017,38,Y,N,N,N,N,AR
2017,6,N,N,N,Y,N,AR
2018,128,N,Y,Y,N,N,AR
2018,312,N,Y,Y,Y,N,AL
2018,33,N,Y,N,Y,N,AR
2018,55,Y,Y,Y,N,N,AK
2018,21,Y,Y,N,Y,N,AK
2019,164,Y,Y,Y,N,N,AR
2019,981,N,N,N,N,N,AL
2019,129,Y,Y,N,N,N,AZ
2019,153,N,N,N,N,N,AK
2019,32,Y,N,N,N,N,AR
2020,774,N,N,N,N,N,AR
2020,206,N,Y,N,N,N,AZ
2020,62,Y,N,Y,Y,N,AZ
2020,12,N,Y,N,Y,N,AZ
2020,165,N,N,N,N,N,AK
2020,53,Y,Y,Y,N,N,AK
2021,30,N,Y,N,Y,N,AL
2021,67,N,Y,Y,N,N,AK
2021,10,N,N,N,Y,N,AR
2021,2,N,N,N,N,Y,AR
2022,298,Y,Y,N,N,N,AR
2022,181,Y,N,Y,Y,N,AL
2022,82,Y,N,Y,Y,N,AZ
2022,228,N,Y,N,N,N,AZ
2022,102,Y,Y,N,N,N,AK
2022,117,N,Y,Y,Y,N,AK
2022,97,N,Y,Y,N,N,AZ
2022,39,Y,N,N,N,N,AR
2022,35,N,Y,N,Y,N,AR
2022,7,Y,N,Y,Y,N,AK
2022,3,N,N,N,N,N,AS
2022,10,N,N,N,N,Y,AR
2022,16,N,N,N,N,Y,AL
2022,1,N,N,N,Y,N,AL
2023,932,N,N,N,N,N,AL
2023,49,Y,N,N,N,N,AR
1999,39,Y,N,N,N,N,AL
1999,2,N,Y,N,Y,N,AR
2000,298,Y,Y,N,N,N,AR
2000,183,N,Y,Y,N,N,AR
2001,97,Y,Y,N,Y,N,AR
2001,32,N,N,Y,N,N,AZ
2001,968,N,N,N,N,N,AL
2001,483,Y,Y,N,N,N,AL
2001,6,N,Y,N,Y,N,AZ
2001,11,Y,Y,N,Y,N,AK
2002,393,N,N,N,N,N,AZ
2002,686,N,N,N,N,N,AR
2002,58,N,N,Y,N,N,AR
2002,115,N,Y,Y,N,N,AZ
2002,162,Y,Y,Y,N,N,AR
2002,106,Y,Y,Y,N,N,AZ
2002,311,N,Y,Y,N,N,AL
2002,34,Y,N,N,N,N,AL
2002,40,Y,Y,Y,N,N,AK
2002,41,Y,Y,N,N,N,AK
2003,46,Y,Y,N,Y,N,AZ
2003,305,N,Y,Y,N,N,AL
2003,183,Y,Y,N,Y,N,AL
2003,89,Y,Y,Y,N,N,AZ
2003,83,N,N,N,N,N,AK
2003,9,Y,N,Y,Y,N,AK
2003,32,N,Y,Y,N,N,AK
2004,269,Y,Y,Y,N,N,AL
2004,30,Y,N,N,N,N,AR
2004,56,Y,Y,N,Y,N,AZ
2004,187,N,Y,Y,Y,N,AR
2004,10,Y,N,Y,Y,N,AK
2004,63,N,Y,N,N,N,AK
2005,183,N,Y,Y,Y,N,AR
2005,326,N,Y,Y,Y,N,AL
2005,286,Y,Y,N,N,N,AR
2005,23,N,Y,N,Y,N,AZ
2005,89,Y,Y,N,Y,N,AR
2005,36,N,Y,Y,N,N,AK
2006,981,N,N,N,N,N,AL
2006,290,Y,Y,N,N,N,AR
2006,86,Y,Y,N,Y,N,AR
2006,75,Y,N,Y,Y,N,AR
2006,61,N,Y,N,N,N,AK
2006,22,N,Y,N,Y,N,AR
2006,2,N,Y,N,Y,N,AK
2007,163,N,Y,Y,Y,N,AZ
2007,182,N,Y,Y,Y,N,AR
2007,91,Y,Y,N,Y,N,AR
2008,185,Y,N,Y,Y,N,AL
2008,677,N,N,N,N,N,AR
2008,156,Y,Y,Y,N,N,AR
2008,73,Y,N,Y,Y,N,AZ
2008,51,N,Y,Y,N,N,AK
2008,5,N,Y,N,Y,N,AK
2009,867,N,Y,N,N,N,AL
2009,256,Y,Y,Y,N,N,AL
2009,82,Y,Y,N,Y,N,AR
2009,22,N,Y,N,Y,N,AR
2009,155,Y,Y,N,Y,N,AL
2009,39,Y,Y,Y,N,N,AK
2009,7,N,Y,N,Y,N,AK
2009,7,Y,N,Y,Y,N,AK
2010,308,Y,Y,N,N,N,AR
2010,92,Y,N,Y,Y,N,AR
2010,66,N,Y,N,N,N,AK
2011,253,Y,Y,Y,N,N,AL
2011,279,N,Y,Y,N,N,AL
2011,70,N,Y,Y,Y,N,AK
2011,283,Y,Y,N,N,N,AR
2011,83,Y,Y,N,Y,N,AR
2011,53,Y,Y,N,N,N,AK
2012,35,N,Y,N,Y,N,AL
2012,26,Y,N,N,N,N,AL
2012,18,N,Y,N,Y,N,AZ
2012,34,Y,Y,Y,N,N,AK
2013,729,N,N,N,N,N,AR
2013,5,N,N,N,Y,N,AR
2014,876,N,Y,N,N,N,AL
2014,249,N,Y,N,N,N,AZ
2014,36,N,Y,N,Y,N,AL
2014,78,Y,Y,N,N,N,AK
2015,998,N,N,N,N,N,AL
2015,105,N,Y,Y,N,N,AZ
2015,91,Y,N,Y,Y,N,AR
2015,3,Y,N,N,N,N,AZ
2015,2,N,N,N,N,N,AS
2016,253,Y,Y,Y,N,N,AL
2016,144,N,Y,Y,Y,N,AZ
2016,131,N,N,N,N,N,AK
2017,420,Y,Y,N,N,N,AL
2017,332,N,Y,Y,Y,N,AL
2017,140,Y,Y,N,Y,N,AL
2017,3,Y,N,Y,Y,N,AK
2017,84,Y,Y,N,Y,N,AR
2017,28,Y,N,N,N,N,AL
2017,19,Y,Y,N,Y,N,AK
2017,1,Y,Y,N,N,N,AS
2018,238,N,Y,N,N,N,AZ
2018,841,N,Y,N,N,N,AL
2018,96,Y,N,Y,Y,N,AR
2018,110,N,Y,Y,N,N,AZ
2019,419,Y,Y,N,N,N,AL
2019,7,N,Y,N,Y,N,AK
2019,21,Y,Y,N,Y,N,AK
2019,141,Y,Y,N,Y,N,AL
2019,6,Y,N,N,N,N,AZ
2019,15,N,Y,N,Y,N,AZ
2019,102,N,Y,Y,Y,N,AK
2020,951,N,N,N,N,N,AL
2020,140,Y,Y,Y,N,N,AR
2020,118,N,Y,Y,N,N,AR
2020,85,Y,N,Y,Y,N,AR
2020,37,Y,Y,N,Y,N,AZ
2020,12,N,Y,N,Y,N,AK
2020,126,Y,Y,N,N,N,AK
2021,187,N,Y,Y,Y,N,AR
2021,115,N,Y,N,N,N,AK
2021,8,Y,N,Y,Y,N,AK
2021,14,N,Y,N,Y,N,AK
2021,107,Y,Y,N,N,N,AK
2021,1,Y,N,N,N,Y,AR
2022,146,Y,Y,Y,N,N,AR
2022,14,N,Y,N,Y,N,AZ
2022,1,Y,Y,N,Y,N,AS
2022,5,Y,N,N,N,N,AZ
2023,415,Y,Y,N,N,N,AL
2023,35,N,Y,N,Y,N,AR
2023,25,N,Y,N,Y,N,AL
2023,6,Y,N,N,N,N,AZ
2023,7,Y,N,Y,Y,N,AK
1999,198,Y,Y,Y,N,N,AR
1999,29,N,N,Y,N,N,AZ
1999,103,N,N,Y,N,N,AL
1999,1,N,N,N,Y,N,AR
