Predictor_name,Description,Data_type,Units,Category_levels,Missing_values,Time_period,Source
rt_carb,"Generalized lithology classified as CARB: sediments and sedimentary rocks. Carbonate rocks such as limestone and dolostone. Generally, any rock including any minor carbonate lithology is included in this group. Some special cases exist where carbonates are also identified based on LITH62MINO field in Schweitzer, Peter N., 2011, Combined geologic map data for the conterminous US derived from the USGS state geologic map compilation.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_clast_c,"Generalized lithology classified as CLAST_C: sediments and sedimentary rocks. Clastic sediments/rocks primarily made of sands, gravels, cobbles, or larger clasts.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_clast_f,"Generalized lithology classified as CLAST_F: sediments and sedimentary rocks. Clastic sediments/rocks primarily made of fine-grained materials such as shale, siltstone, claystone, mudstone, etc.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_clast_u,Generalized lithology classified as CLAST_U: sediments and sedimentary rocks. Clastic sediments/rocks of unknown or highly variable clast sizes.,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_meta,Generalized lithology classified as META: Metamorphic rocks.,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_plut_qtz,"Generalized lithology classified as PLUT_QTZ: Igneous, generally felsic, quartz-rich plutonic rocks such as granitoids, granite, granodacite. Lithology of plutonics and volcanics are split out based on quartz content using the IUGS classification presented in Hyndman's 'Petrology of Igneous and Metamorphic Rocks' second edition, 1985, page 33, fields 1-5.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
PRMS8110Re,average annual recharge to groundwater,numeric,millimeters per year,NA,"""NA""",1981-2010,Hay (2019)
LP2,Lateral position for fourth order streams,numeric,percent times 100,NA,,NA,Moore and others (2019)
LP4,Lateral position for second order streams,numeric,percent times 100,NA,,NA,Moore and others (2019)
LP6,Lateral position for sixth order streams,numeric,percent times 100,NA,,NA,Moore and others (2019)
D3,"Devonian; stratified sequence, mainly marine, most complete sequences; Upper Devonian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
De,Devonian eugeosynclinal deposits,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
DSe,New England; Devonian and Silurian eugeosynclinal deposits,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Kg,Plutonic and intrusive rocks; Cretaceous granitic rocks; Western United States,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
O2,"Ordovician; stratified sequence, mainly marine, most complete sequences; Middle Ordovician (Mohawkian), Upper Ordovician included in places; Eastern United States",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Oe,"Ordovician, eugeosynclinal",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
PP4,"Upper Pennsylvanian; stratified sequence mainly marine, most complete sequences; Virgilian Series (= Monongahela Group); Central interior region, from Appalachians to Kansas and central Texas",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Pzg1,"Plutonic and intrusive rocks; Lower Paleozoic granitic rocks; about 400 - 500 million years. In New England, Highlandcroft and Oliverian Plutonic Series, related to Taconian orogeny; in Piedmont province",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Pzg2,"Plutonic and intrusive rocks; Middle Paleozoic granitic rocks; about 350-400 million years. In New England, New Hampshire Plutonic Series and others, related to Acadian orogeny; in Piedmont province, synmetamorphic; Appalachian region (New England and Piedmont province), rarely in western United States",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Q,"Quaternary; stratified sequence, mainly marine, combinations; Western United States; only large areas and thick deposits shown",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Qv,Quaternary volcanic rocks,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
S2,"Silurian; stratified sequence, mainly marine, most complete sequences; Middle Silurian (Niagaran)",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Se,Silurian eugeosynclinal deposits,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Te2,"Tertiary; Eocene; stratified sequence, mainly marine, most complete sequences; Claiborne Group Atlantic and Gulf Coastal Plains",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Tm,"Tertiary; stratified sequence, mainly marine, most complete sequences; Miocene, includes Pliocene in Southeastern U.S.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Tmc,Tertiary; Miocene continental deposits,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Toc,Tertiary; Oligocene continental deposits,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Tp,"Tertiary; stratified sequence, mainly marine, most complete sequences; Pliocene",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Tpc,Tertiary; Pliocene continental deposits includes Miocene and Quaternary deposits in places,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Tpv,Tertiary; Pliocene volcanic rocks,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Tr,"Triassic; stratified sequence, mainly marine, most complete sequences; mainly marine but includes continental Dockum Group in Texas and New Mexico, and Newark Group in Appalachian region",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Txc,Tertiary; Paleocene continental deposits,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
uK2,"stratified sequence, mainly marine, most complete sequences; Upper Cretaceous Austin and Eagle Ford Groups (=Colorado Group); Atlantic and Gulf Coastal Plains and western interior region",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
uK3,"stratified sequence, mainly marine, most complete sequences; Upper Cretaceous Taylor Group (= Montana Group), In Montana plains, separated into uK3a and b at base of Judith River Formation; Atlantic and Gulf Coastal Plains and western interior region",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
uK3b,"stratified sequence, mainly marine, most complete sequences; Upper Cretaceous Taylor Group (= Montana Group), In Montana plains, separated into uK3a and b at base of Judith River Formation; Atlantic and Gulf Coastal Plains and western interior region",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
uK4,"stratified sequence, mainly marine, most complete sequences; Upper Cretaceous Navarro Group (Laramie and other formations); Atlantic and Gulf Coastal Plains and western interior region",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
uPz,"stratified sequence, mainly marine, combinations; Upper Paleozoic; Western United States",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
Wgn,PreCambrian; metamorphic rocks; Orthogneiss and paragneiss,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
as_c,Arsenic concentration in the soil C horizon,numeric,milligrams per kilogram,NA,"""NA""",NA,Smith and others (2014)
be_c,Beryllium concentration in the soil C horizon,numeric,milligrams per kilogram,NA,"""NA""",NA,Smith and others (2014)
bi_c,Bismuth concentration in the soil C horizon,numeric,milligrams per kilogram,NA,"""NA""",NA,Smith and others (2014)
inorgc_c,Inorganic carbon concentration in the soil C horizon,numeric,weight percent,NA,"""NA""",NA,Smith and others (2014)
mo_c,Molybdenum concentration in the soil C horizon,numeric,milligrams per kilogram,NA,"""NA""",NA,Smith and others (2014)
ni_c,Nickel concentration in the soil C horizon,numeric,milligrams per kilogram,NA,"""NA""",NA,Smith and others (2014)
orgc_c,Phosphorus concentration in the soil C horizon,numeric,weight percent,NA,"""NA""",NA,Smith and others (2014)
p_c,Organic carbon concentration in the soil C horizon,numeric,milligrams per kilogram,NA,"""NA""",NA,Smith and others (2014)
sb_c,Antimony concentration in the soil C horizon,numeric,milligrams per kilogram,NA,"""NA""",NA,Smith and others (2014)
se_c,Selenium concentration in the soil C horizon,numeric,NA,NA,"""NA""",NA,Smith and others (2014)
uc_12,"Alluvial sediments, thick, unit thickness >100 feet, geologic age Holocene to Pliocene",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_221,"Coastal zone sediments, mostly medium-grained, unit thickness <100 feet, geologic age Holocene to Pliocene",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_312,"Eolian sediments, mostly loess, thick, thickness >100 feet, geologic age Holocene to Pliocene",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_321,"Eolian sediments, mostly dune sand, thin, unit thickness <100 feet, geologic age Holocene to Pleistocene",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_322,"Eolian sediments, mostly dune sand, thick, thickness >100 feet, geologic age Holocene to Pleistocene",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_331,"Eolian sediments on southern High Plains, unit thickness <100 feet, geologic age Holocene to Pleistocene",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_421,"Glacial till sediments, mostly silty, thin, unit thickness <100 feet, geologic age late Wisconsinan to pre-Illinoian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_422,"Glacial till sediments, mostly silty, thick, unit thickness >100 feet, geologic age late Wisconsinan to pre-Illinoian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_431,"Glacial till sediments, mostly sandy, thin, unit thickness <100 feet, geologic age late Wisconsinan to pre-Illinoian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_451,"Glaciofluvial ice-contact sediments, mostly sand and gravel, thin, unit thickness <100 feet, geologic age late Wisconsinan to Illinoian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_620,"Colluvial and alluvial sediments, discontinuous, or patchy in distribution, geologic age Holocene to Tertiary",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_811,"Proglacial sediments, mostly fine grained, thin, unit thickness <100 feet, geologic age late Wisconsinan to pre-Illinoian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_812,"Proglacial sediments, mostly fine grained, thick, unit thickness >100 feet, geologic age late Wisconsinan to pre-Illinoian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_821,"Proglacial sediments, mostly coarse-grained, thin, unit thickness <100 feet, geologic age late Wisconsinan to pre-Illinoian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_822,"Proglacial sediments, mostly coarse-grained, thick, unit thickness >100 feet, geologic age late Wisconsinan to pre-Illinoian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_910,"Residual materials developed in igneous and metamorphic rocks, unit thickness discontinuous, or patchy in distribution, geologic age Holocene to Tertiary",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_920,"Residual materials developed in sedimentary rocks, discontinuous, unit thickness discontinuous, or patchy in distribution, geologic age Holocene to Tertiary",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_940,"Residual materials developed in carbonate rocks, discontinuous, unit thickness discontinuous, or patchy in distribution, geologic age Holocene to Tertiary",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_960,"Residual materials developed in bedrock, with alluvial sediments, discontinuous, unit thickness discontinuous, or patchy in distribution, geologic age Holocene to Tertiary",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_970,"Residual materials developed in bedrock, discontinuous, unit thickness discontinuous, or patchy in distribution, geologic age Holocene to Tertiary",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
uc_999,water,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Soller and others (2009)
Percent_Ti,County estimates of U.S. tile drainage,numeric,Percent of county,NA,"""NA""",1992,Sugg (2007)
DMppt8110,average annual precipitation from 1981 to 2010,numeric,inches,NA,"""NA""",1981-2010,Thornton and others (2018)
na_10.1,Cold deserts ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_11.1,Mediterranean California ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_12.1,Western Sierra Madre piedmont ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_13.1,Upper Gila Mountains ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_6.2,Western Cordillera ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_7.1,Marine West Coast forest ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_8.1,Mixed wood plains ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_8.2,Central USA plains ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_9.2,Temperate prairies ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_9.3,West-Central semi-arid prairies ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_9.4,South Central semi-arid prairies ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_9.5,Texas-Louisiana coastal plain ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
na_9.6,Tamaulipas-Texas semiarid plain ecoregion,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,USEPA (2013)
BFI,Mean annual base flow index,numeric,percent,NA,"""NA""",1950-1981,Wolock (2003)
As3Cat,Code to assign observed arsenic concentration to categorical variable,categorical,NA,C1 (Arsenic concentration is less than or equal to 5 micrograms per liter); C2 (Arsenic concentration is greater than 5 micrograms per liter and less than or equal to 10 micrograms per liter); C3 (Arsenic concentration is greater than or equal to 10 micrograms per liter),"""NA""",NA,Producer defined
bas1,Code to assign observed arsenic concentration to binary variable,binary,NA,1 (Arsenic concentration is greater than 1 microgram per liter); 0 (Arsenic concentration is less than or equal to 1 microgram per liter),"""NA""",NA,Producer defined
bas10,Code to assign observed arsenic concentration to binary variable,binary,NA,1 (Arsenic concentration is greater than 10 micrograms per liter); 0 (Arsenic concentration is less than or equal to 10 micrograms per liter),"""NA""",NA,Producer defined
bas5,Code to assign observed arsenic concentration to binary variable,binary,NA,1 (Arsenic concentration is greater than 5 micrograms per liter); 0 (Arsenic concentration is less than or equal to 5 micrograms per liter),"""NA""",NA,Producer defined
spl1,Code to indicate if the location was used in the boosted regression tree As 1 model training or testing dataset,categorical,NA,TRUE (Used in model training dataset for the boosted regression trees model predicting arsenic greater than 1 microgram per liter); FALSE (Used in model testing dataset for the boosted regression trees model predicting arsenic greater than 1 microgram per liter),"""NA""",NA,Producer defined
spl10,Code to indicate if the location was used in the boosted regression tree As 10 model training or testing dataset,categorical,NA,TRUE (Used in model training dataset for the boosted regression trees model predicting arsenic greater than 10 micrograms per liter); FALSE (Used in model testing dataset for the boosted regression trees model predicting arsenic greater than 10 micrograms per liter),"""NA""",NA,Producer defined
spl3cat,Code to indicate if the location was used in the random forest model training or testing dataset,categorical,NA,TRUE (Used in model training dataset for the random forest classification model); FALSE (Used in model testing dataset for the random forest classification model),"""NA""",NA,Producer defined
spl5,Code to indicate if the location was used in the boosted regression tree As 5 model training or testing dataset,categorical,NA,TRUE (Used in model training dataset for the boosted regression trees model predicting arsenic greater than 5 micrograms per liter); FALSE (Used in model testing dataset for the boosted regression trees model predicting arsenic greater than 5 micrograms per liter),"""NA""",NA,Producer defined
