States,Year,Total_Count,Total_Population
Alabama,1999,41,194723
Alabama,2000,51,220789
Alabama,2001,79,442183
Alabama,2002,34,378534
Alabama,2003,53,474259
Alabama,2004,54,313205
Alabama,2005,74,600098
Alabama,2006,66,466362
Alabama,2007,112,748135
Alabama,2008,162,820682
Alabama,2009,177,1111683
Alabama,2010,120,701301
Alabama,2011,148,880104
Alabama,2012,186,1010119
Alabama,2013,133,951069
Alabama,2014,99,621735
Alabama,2015,108,747164
Alabama,2016,156,1117064
Alabama,2017,149,912437
Alabama,2018,232,1403141
Alabama,2019,193,1261825
Alabama,2020,223,1412351
Alabama,2021,179,1159929
Alaska,1999,0,261961
Alaska,2000,0,336096
Alaska,2001,0,312853
Alaska,2002,0,191810
Alaska,2003,0,316218
Alaska,2004,0,238825
Alaska,2005,0,380174
Alaska,2006,0,330321
Alaska,2007,0,218877
Alaska,2008,0,242180
Alaska,2009,0,151783
Alaska,2010,0,178413
Alaska,2011,0,189467
Alaska,2012,0,323747
Alaska,2013,0,263618
Alaska,2014,0,217566
Alaska,2015,0,218272
Alaska,2016,0,168036
Alaska,2017,0,217643
Alaska,2018,0,323442
Alaska,2019,0,264546
Alaska,2020,0,390023
Alaska,2021,0,303031
Arizona,1999,93,475824
Arizona,2000,89,583329
Arizona,2001,91,626614
Arizona,2002,126,642526
Arizona,2003,74,404537
Arizona,2004,122,716520
Arizona,2005,155,938488
Arizona,2006,213,1334190
Arizona,2007,153,1100443
Arizona,2008,254,1686681
Arizona,2009,277,1969996
Arizona,2010,276,1882373
Arizona,2011,233,1365968
Arizona,2012,280,1744328
Arizona,2013,292,1916446
Arizona,2014,287,1703651
Arizona,2015,257,1891382
Arizona,2016,285,1941567
Arizona,2017,279,1850471
Arizona,2018,299,2097883
Arizona,2019,318,2377719
Arizona,2020,350,2573054
Arizona,2021,273,2141951
Arkansas,1999,0,196611
Arkansas,2000,0,123384
Arkansas,2001,0,150710
Arkansas,2002,0,92751
Arkansas,2004,19,324657
Arkansas,2005,0,116939
Arkansas,2006,34,253962
Arkansas,2007,17,188496
Arkansas,2008,0,20860
Arkansas,2009,0,116639
Arkansas,2010,16,67015
Arkansas,2011,0,99989
Arkansas,2012,0,18491
Arkansas,2013,37,183290
Arkansas,2014,16,112820
Arkansas,2015,53,225068
Arkansas,2016,36,232096
Arkansas,2017,36,260964
Arkansas,2018,53,422178
Arkansas,2019,56,526944
Arkansas,2020,74,296322
Arkansas,2021,0,120599
California,1999,2028,31858924
California,2000,1950,33495346
California,2001,1983,33955101
California,2002,2087,34356938
California,2003,2149,34730964
California,2004,2126,35054226
California,2005,2135,35305540
California,2006,2080,35501013
California,2007,2216,35723078
California,2008,2208,36074921
California,2009,2291,36462208
California,2010,2298,36827380
California,2011,2261,37145628
California,2012,2314,37479912
California,2013,2418,37799813
California,2014,2419,38145571
California,2015,2452,38474158
California,2016,2392,37444187
California,2017,2475,38947670
California,2018,2444,39079950
California,2019,2440,39103209
California,2020,2473,39068891
California,2021,2409,37455903
Colorado,1999,32,531205
Colorado,2000,34,392171
Colorado,2001,45,275745
Colorado,2002,61,328933
Colorado,2003,16,157603
Colorado,2004,56,398379
Colorado,2005,62,518223
Colorado,2006,91,907578
Colorado,2007,100,664364
Colorado,2008,108,720880
Colorado,2009,83,456574
Colorado,2010,91,906183
Colorado,2011,130,932726
Colorado,2012,99,635804
Colorado,2013,69,627174
Colorado,2014,177,1292490
Colorado,2015,194,1343825
Colorado,2016,151,1310115
Colorado,2017,211,1332604
Colorado,2018,146,883023
Colorado,2019,169,1161498
Colorado,2020,193,1168773
Colorado,2021,171,1373279
Connecticut,1999,49,388875
Connecticut,2000,69,309943
Connecticut,2002,19,74509
Connecticut,2003,16,58625
Connecticut,2004,36,395285
Connecticut,2005,18,114173
Connecticut,2006,38,353432
Connecticut,2007,18,148556
Connecticut,2008,89,467435
Connecticut,2009,108,596294
Connecticut,2010,50,152731
Connecticut,2011,59,324286
Connecticut,2012,33,383491
Connecticut,2013,59,227806
Connecticut,2014,60,298201
Connecticut,2015,122,791113
Connecticut,2016,54,408646
Connecticut,2017,122,689312
Connecticut,2018,151,929615
Connecticut,2019,65,383982
Connecticut,2020,141,1083734
Connecticut,2021,71,467656
Delaware,1999,0,284243
Delaware,2000,0,236257
Delaware,2001,0,201011
Delaware,2002,0,182842
Delaware,2003,0,322015
Delaware,2004,0,257173
Delaware,2005,0,280072
Delaware,2006,0,258551
Delaware,2007,0,216785
Delaware,2008,0,264698
Delaware,2009,0,154338
Delaware,2010,0,229824
Delaware,2011,0,153216
Delaware,2012,0,242712
Delaware,2013,0,263977
Delaware,2014,0,253029
Delaware,2015,0,281734
Delaware,2016,0,260445
Delaware,2017,0,134473
Delaware,2018,0,246420
Delaware,2019,0,353556
Delaware,2020,0,205222
Delaware,2021,0,253404
District of Columbia,1999,0,235095
District of Columbia,2000,0,214600
District of Columbia,2001,0,315331
District of Columbia,2002,0,297810
District of Columbia,2003,0,238241
District of Columbia,2004,0,276679
District of Columbia,2005,0,287550
District of Columbia,2006,0,277314
District of Columbia,2007,0,279185
District of Columbia,2008,0,260925
District of Columbia,2009,0,306044
District of Columbia,2010,0,234118
District of Columbia,2011,0,324929
District of Columbia,2012,0,204576
District of Columbia,2013,0,233794
District of Columbia,2014,0,281576
District of Columbia,2015,0,337177
District of Columbia,2016,0,314903
District of Columbia,2017,0,353127
District of Columbia,2018,0,208118
District of Columbia,2019,0,222681
District of Columbia,2020,0,259488
District of Columbia,2021,0,289270
Florida,1999,1144,12310235
Florida,2000,1303,13381561
Florida,2001,1191,12540673
Florida,2002,1288,13865331
Florida,2003,1241,13140481
Florida,2004,1363,15663866
Florida,2005,1417,15383683
Florida,2006,1349,16282385
Florida,2007,1383,16464779
Florida,2008,1370,16546076
Florida,2009,1434,15601249
Florida,2010,1460,16851257
Florida,2011,1443,17060340
Florida,2012,1416,16717259
Florida,2013,1518,16919287
Florida,2014,1499,17876105
Florida,2015,1588,18312850
Florida,2016,1593,18586300
Florida,2017,1576,18130839
Florida,2018,1793,19685707
Florida,2019,1767,20519441
Florida,2020,1745,20144121
Florida,2021,1812,19655111
Georgia,1999,256,2167991
Georgia,2000,230,2013487
Georgia,2001,314,2762851
Georgia,2002,283,2538252
Georgia,2003,261,2468369
Georgia,2004,338,3021877
Georgia,2005,358,3162516
Georgia,2006,331,3165858
Georgia,2007,401,4559560
Georgia,2008,396,4031785
Georgia,2009,398,3245952
Georgia,2010,416,4259007
Georgia,2011,383,3695278
Georgia,2012,435,4422225
Georgia,2013,449,4231227
Georgia,2014,452,4477663
Georgia,2015,441,3678766
Georgia,2016,504,5236107
Georgia,2017,403,3571163
Georgia,2018,431,4531097
Georgia,2019,457,3783492
Georgia,2020,512,4451476
Georgia,2021,465,3835505
Hawaii,1999,0,282974
Hawaii,2000,0,386520
Hawaii,2001,0,138457
Hawaii,2002,0,482018
Hawaii,2003,0,288797
Hawaii,2004,0,355011
Hawaii,2005,0,314286
Hawaii,2006,0,323726
Hawaii,2007,0,363736
Hawaii,2008,0,306314
Hawaii,2009,0,372842
Hawaii,2010,0,279164
Hawaii,2011,0,323665
Hawaii,2012,0,435037
Hawaii,2013,0,387736
Hawaii,2014,0,359420
Hawaii,2015,0,246811
Hawaii,2016,0,567047
Hawaii,2017,0,403028
Hawaii,2018,0,368275
Hawaii,2019,0,460242
Hawaii,2020,0,388097
Hawaii,2021,0,387911
Idaho,1999,0,116201
Idaho,2000,0,249531
Idaho,2001,0,155987
Idaho,2002,0,155294
Idaho,2003,0,134530
Idaho,2004,0,207765
Idaho,2005,0,66071
Idaho,2006,0,161427
Idaho,2007,0,277974
Idaho,2008,0,81943
Idaho,2009,0,174438
Idaho,2010,0,202579
Idaho,2011,0,342948
Idaho,2012,0,79858
Idaho,2013,0,170416
Idaho,2014,0,249700
Idaho,2015,16,116914
Idaho,2016,0,375303
Idaho,2017,0,229605
Idaho,2018,0,261625
Idaho,2019,0,253182
Idaho,2020,0,472852
Idaho,2021,0,88758
Illinois,1999,631,6484529
Illinois,2000,631,6849091
Illinois,2001,618,6347955
Illinois,2002,612,7027609
Illinois,2003,674,7101038
Illinois,2004,719,7600194
Illinois,2005,702,8455608
Illinois,2006,779,8071849
Illinois,2007,674,7593871
Illinois,2008,727,6150190
Illinois,2009,707,7098673
Illinois,2010,783,8452573
Illinois,2011,782,7982669
Illinois,2012,703,7232141
Illinois,2013,707,7528109
Illinois,2014,721,7355028
Illinois,2015,829,9453118
Illinois,2016,750,7629505
Illinois,2017,740,7322010
Illinois,2018,791,9096723
Illinois,2019,745,7768691
Illinois,2020,723,6670198
Illinois,2021,710,6990771
Indiana,1999,196,1067243
Indiana,2000,161,1240493
Indiana,2001,198,1254832
Indiana,2002,239,1650069
Indiana,2003,222,1523778
Indiana,2004,254,1573335
Indiana,2005,228,1894226
Indiana,2006,330,2277804
Indiana,2007,283,1794276
Indiana,2008,321,2163239
Indiana,2009,202,1582800
Indiana,2010,302,2213779
Indiana,2011,262,1967950
Indiana,2012,228,1588749
Indiana,2013,280,1954069
Indiana,2014,270,1818938
Indiana,2015,220,1615131
Indiana,2016,311,2072320
Indiana,2017,308,2293608
Indiana,2018,291,1979189
Indiana,2019,291,1951490
Indiana,2020,0,0
Indiana,2021,0,0
Iowa,1999,0,36894
Iowa,2000,16,53648
Iowa,2001,32,137039
Iowa,2002,0,37248
Iowa,2003,17,88597
Iowa,2004,32,172448
Iowa,2005,16,253740
Iowa,2006,40,156718
Iowa,2007,54,163378
Iowa,2008,18,64813
Iowa,2009,20,119874
Iowa,2010,17,162749
Iowa,2012,40,240791
Iowa,2013,39,286758
Iowa,2014,56,275334
Iowa,2015,19,117002
Iowa,2016,45,200778
Iowa,2017,69,343662
Iowa,2018,34,210594
Iowa,2019,36,208336
Iowa,2020,86,439595
Iowa,2021,18,314304
Kansas,1999,0,229344
Kansas,2000,0,215689
Kansas,2001,0,93846
Kansas,2002,16,221396
Kansas,2003,0,19099
Kansas,2004,0,228931
Kansas,2005,0,317892
Kansas,2006,0,359673
Kansas,2007,0,41071
Kansas,2008,16,143396
Kansas,2009,0,120027
Kansas,2010,18,333230
Kansas,2011,74,375238
Kansas,2012,16,165042
Kansas,2013,23,100159
Kansas,2014,0,19869
Kansas,2015,0,125611
Kansas,2016,38,308156
Kansas,2017,16,154782
Kansas,2018,16,232212
Kansas,2019,37,306802
Kansas,2020,16,300945
Kansas,2021,40,308213
Kentucky,1999,39,129509
Kentucky,2000,51,311570
Kentucky,2001,16,68942
Kentucky,2002,0,27490
Kentucky,2003,18,311970
Kentucky,2004,85,555522
Kentucky,2005,73,423469
Kentucky,2006,42,231395
Kentucky,2007,141,729766
Kentucky,2008,75,494787
Kentucky,2009,142,854856
Kentucky,2010,150,827248
Kentucky,2011,129,724843
Kentucky,2012,141,748454
Kentucky,2013,155,915400
Kentucky,2014,126,806135
Kentucky,2015,154,807918
Kentucky,2016,121,638884
Kentucky,2017,159,861937
Kentucky,2018,169,1047888
Kentucky,2019,181,1160349
Kentucky,2020,185,1007631
Kentucky,2021,101,617750
Louisiana,2000,35,124842
Louisiana,2002,17,159227
Louisiana,2003,90,666146
Louisiana,2004,16,44920
Louisiana,2005,72,469981
Louisiana,2006,19,92359
Louisiana,2007,65,645957
Louisiana,2008,55,356996
Louisiana,2009,34,291363
Louisiana,2010,71,511316
Louisiana,2011,39,394710
Louisiana,2012,100,608522
Louisiana,2013,86,683672
Louisiana,2014,108,1049579
Louisiana,2015,94,617739
Louisiana,2016,72,749532
Louisiana,2017,119,706756
Louisiana,2018,89,521601
Louisiana,2019,63,362469
Louisiana,2020,73,471373
Louisiana,2021,84,577152
Maine,1999,0,175305
Maine,2000,0,178735
Maine,2001,0,343374
Maine,2002,0,105727
Maine,2003,0,153503
Maine,2004,0,178355
Maine,2005,0,220693
Maine,2006,0,176044
Maine,2007,0,252187
Maine,2008,0,116692
Maine,2009,0,127186
Maine,2010,0,191382
Maine,2011,0,150754
Maine,2012,0,43148
Maine,2013,0,297450
Maine,2014,0,190072
Maine,2015,0,178588
Maine,2016,0,83623
Maine,2017,0,121448
Maine,2018,0,157733
Maine,2019,0,290075
Maine,2020,0,175476
Maine,2021,0,273256
Maryland,1999,94,673219
Maryland,2000,96,656711
Maryland,2001,72,600202
Maryland,2002,167,1025218
Maryland,2003,164,1027689
Maryland,2004,157,1313676
Maryland,2005,72,630756
Maryland,2006,142,1144406
Maryland,2007,175,1028948
Maryland,2008,122,757928
Maryland,2009,150,943832
Maryland,2010,212,1657009
Maryland,2011,148,1092416
Maryland,2012,181,1168791
Maryland,2013,220,1520799
Maryland,2014,149,1188176
Maryland,2015,192,1526539
Maryland,2016,213,1645836
Maryland,2017,206,1377506
Maryland,2018,159,1421084
Maryland,2019,249,1590273
Maryland,2020,248,1671133
Maryland,2021,215,1409468
Massachusetts,1999,199,1181059
Massachusetts,2000,334,2039418
Massachusetts,2001,273,1930655
Massachusetts,2002,289,2166174
Massachusetts,2003,307,2004820
Massachusetts,2004,272,1787623
Massachusetts,2005,290,2068116
Massachusetts,2006,298,2084105
Massachusetts,2007,324,2135084
Massachusetts,2008,326,1936231
Massachusetts,2009,253,2016903
Massachusetts,2010,314,2284100
Massachusetts,2011,257,1756701
Massachusetts,2012,271,1916670
Massachusetts,2013,371,2709588
Massachusetts,2014,292,2113512
Massachusetts,2015,355,2412660
Massachusetts,2016,350,2067742
Massachusetts,2017,342,2694439
Massachusetts,2018,356,2304215
Massachusetts,2019,360,2703367
Massachusetts,2020,385,2521290
Massachusetts,2021,168,1420347
Michigan,1999,624,5018121
Michigan,2000,510,4440727
Michigan,2001,565,5148180
Michigan,2002,574,5335958
Michigan,2003,557,5334955
Michigan,2004,604,4850349
Michigan,2005,592,4574383
Michigan,2006,550,4856337
Michigan,2007,643,5366401
Michigan,2008,649,5052077
Michigan,2009,566,5015386
Michigan,2010,580,4773473
Michigan,2011,623,5470328
Michigan,2012,557,4367837
Michigan,2013,503,4193601
Michigan,2014,576,4596833
Michigan,2015,604,4953928
Michigan,2016,593,4938422
Michigan,2017,533,4227143
Michigan,2018,592,4674890
Michigan,2019,556,4431576
Michigan,2020,565,5220941
Michigan,2021,457,3948522
Minnesota,1999,122,779469
Minnesota,2000,75,422706
Minnesota,2001,102,635767
Minnesota,2002,119,689024
Minnesota,2003,132,1271408
Minnesota,2004,119,827689
Minnesota,2005,34,322519
Minnesota,2006,149,1161485
Minnesota,2007,78,594693
Minnesota,2008,117,853401
Minnesota,2009,128,1041985
Minnesota,2010,140,1043787
Minnesota,2011,126,1011432
Minnesota,2012,215,1464739
Minnesota,2013,156,933365
Minnesota,2014,195,1191660
Minnesota,2015,228,1341718
Minnesota,2016,215,1459664
Minnesota,2017,213,1395360
Minnesota,2018,229,1493683
Minnesota,2019,247,1542561
Minnesota,2020,191,1329925
Minnesota,2021,230,1592712
Mississippi,1999,0,0
Mississippi,2000,0,0
Mississippi,2001,0,0
Mississippi,2002,0,0
Mississippi,2003,0,69180
Mississippi,2004,0,80752
Mississippi,2005,0,120477
Mississippi,2006,0,21309
Mississippi,2007,0,91997
Mississippi,2008,17,389207
Mississippi,2009,0,125756
Mississippi,2010,0,39584
Mississippi,2011,32,377010
Mississippi,2013,35,250278
Mississippi,2014,19,261753
Mississippi,2015,0,18574
Mississippi,2016,17,250383
Mississippi,2017,49,232246
Mississippi,2018,0,18527
Mississippi,2019,0,35195
Mississippi,2020,0,16622
Mississippi,2021,16,203479
Missouri,1999,198,1208305
Missouri,2000,161,905718
Missouri,2001,144,997068
Missouri,2002,239,1498561
Missouri,2003,173,1132742
Missouri,2004,208,1302833
Missouri,2005,228,1458354
Missouri,2006,223,1357823
Missouri,2007,242,1553796
Missouri,2008,217,1259017
Missouri,2009,233,1415537
Missouri,2010,212,1730422
Missouri,2011,165,937776
Missouri,2012,281,1807164
Missouri,2013,200,1465685
Missouri,2014,258,1649905
Missouri,2015,227,1677500
Missouri,2016,253,1560543
Missouri,2017,266,1721453
Missouri,2018,228,1513411
Missouri,2019,260,1720955
